Iteration number: 1


| #  | Trade Date | Exit Date  |Ticker |Enter Price | Stop Loss  |Take Profit | Exit Price | Winner |  Capital   | Position |Spread|
+----------------------------------------------------------------------------------------------------------------------------------+
| 1  | 2024-02-12 | 2024-02-13 | CHEEL |      17.398|       0.000|       0.000|      17.588|  Yes   |   1,000.093|   Long   | 0.000|
| 2  | 2024-02-12 | 2024-02-13 | CHEX  |       0.086|       0.000|       0.000|       0.101|  Yes   |   1,016.495|   Long   | 0.000|
| 3  | 2024-02-12 | 2024-02-14 | BTCB  |  49,989.520|       0.000|       0.000|  51,812.390|  Yes   |   1,019.142|   Long   | 0.000|
| 4  | 2024-02-12 | 2024-02-14 | RBTC  |  49,768.180|       0.000|       0.000|  52,127.960|  Yes   |   1,022.883|   Long   | 0.000|
| 5  | 2024-02-12 | 2024-02-14 |  BTC  |  49,958.220|       0.000|       0.000|  51,826.700|  Yes   |   1,025.623|   Long   | 0.000|
| 6  | 2024-02-12 | 2024-02-14 | WBTC  |  49,962.410|       0.000|       0.000|  51,763.230|  Yes   |   1,028.228|   Long   | 0.000|
| 7  | 2024-02-12 | 2024-02-17 |  CAH  |      19.290|       0.000|       0.000|      19.820|  Yes   |   1,029.975|   Long   | 0.000|
| 8  | 2024-02-12 | 2024-02-17 | LINK  |      20.490|       0.000|       0.000|       0.000|   No   |     928.975|   Long   | 0.000|
| 9  | 2024-02-16 | 2024-02-17 |  GLQ  |       0.041|       0.000|       0.000|       0.044|  Yes   |     935.502|   Long   | 0.000|
| 10 | 2024-02-16 | 2024-02-17 |  TRX  |       0.133|       0.000|       0.000|       0.136|  Yes   |     936.770|   Long   | 0.000|
| 11 | 2024-02-16 | 2024-02-17 | PAAL  |       0.286|       0.000|       0.000|       0.354|  Yes   |     960.478|   Long   | 0.000|
| 12 | 2024-02-16 | 2024-02-17 | SAUCE |       0.122|       0.000|       0.000|       0.124|  Yes   |     961.666|   Long   | 0.000|
| 13 | 2024-02-16 | 2024-02-17 |  BGB  |       1.021|       0.000|       0.000|       1.063|  Yes   |     964.917|   Long   | 0.000|
| 14 | 2024-02-16 | 2024-02-18 |ANKRETH|   3,224.730|       0.000|       0.000|   3,269.180|  Yes   |     965.335|   Long   | 0.000|
| 15 | 2024-02-16 | 2024-02-18 | CTXC  |       0.612|       0.000|       0.000|       0.614|   No   |     964.737|   Long   | 0.000|
| 16 | 2024-02-20 | 2024-02-21 |  TRX  |       0.139|       0.000|       0.000|       0.140|   No   |     964.089|   Long   | 0.000|
| 17 | 2024-02-20 | 2024-02-21 |FAKEAI |       0.004|       0.000|       0.000|       0.006|  Yes   |   1,011.695|   Long   | 0.000|
| 18 | 2024-02-20 | 2024-02-22 |  UFI  |       0.127|       0.000|       0.000|       0.146|  Yes   |   1,025.020|   Long   | 0.000|
| 19 | 2024-02-20 | 2024-02-22 | HMND  |       0.295|       0.000|       0.000|       0.350|  Yes   |   1,042.030|   Long   | 0.000|
| 20 | 2024-02-20 | 2024-02-22 |  GLQ  |       0.059|       0.000|       0.000|       0.061|  Yes   |   1,043.448|   Long   | 0.000|
| 21 | 2024-02-20 | 2024-02-22 | ETHX  |   3,058.100|       0.000|       0.000|   3,058.530|   No   |   1,042.497|   Long   | 0.000|
| 22 | 2024-02-23 | 2024-02-24 |  QTO  |       0.230|       0.000|       0.000|       0.236|  Yes   |   1,044.226|   Long   | 0.000|
| 23 | 2024-02-23 | 2024-02-24 |  UFI  |       0.190|       0.000|       0.000|       0.238|  Yes   |   1,069.450|   Long   | 0.000|
| 24 | 2024-02-20 | 2024-02-25 |  NBS  |       4.059|       0.000|       0.000|       0.000|   No   |     972.012|   Long   | 0.000|
| 25 | 2024-02-20 | 2024-02-25 | P2PS  |     172.640|       0.000|       0.000|     178.250|  Yes   |     974.182|   Long   | 0.000|
| 26 | 2024-02-20 | 2024-02-25 |  ANT  |       7.650|       0.000|       0.000|       7.890|  Yes   |     976.251|   Long   | 0.000|
| 27 | 2024-02-20 | 2024-02-25 | WNXM  |      62.850|       0.000|       0.000|      64.370|  Yes   |     977.620|   Long   | 0.000|
| 28 | 2024-02-23 | 2024-02-25 | AGIX  |       0.758|       0.000|       0.000|       0.758|   No   |     976.686|   Long   | 0.000|
| 29 | 2024-02-23 | 2024-02-25 | AGRS  |      10.467|       0.000|       0.000|      10.623|  Yes   |     977.238|   Long   | 0.000|
| 30 | 2024-02-23 | 2024-02-25 |  WLD  |       8.228|       0.000|       0.000|       8.548|  Yes   |     980.284|   Long   | 0.000|
| 31 | 2024-02-26 | 2024-02-27 | WBTC  |  54,497.640|       0.000|       0.000|  56,914.780|  Yes   |     983.652|   Long   | 0.000|
| 32 | 2024-02-26 | 2024-02-27 |  ANT  |       8.045|       0.000|       0.000|       8.214|  Yes   |     984.727|   Long   | 0.000|
| 33 | 2024-02-26 | 2024-02-27 | P2PS  |     182.080|       0.000|       0.000|     185.850|  Yes   |     985.777|   Long   | 0.000|
| 34 | 2024-02-26 | 2024-02-27 | RBTC  |  53,865.500|       0.000|       0.000|  55,852.210|  Yes   |     988.412|   Long   | 0.000|
| 35 | 2024-02-26 | 2024-02-27 |ZEDXION|       0.230|       0.000|       0.000|       0.235|  Yes   |     989.400|   Long   | 0.000|
| 36 | 2024-02-23 | 2024-02-28 |  SC   |       0.021|       0.000|       0.000|       0.000|   No   |     884.108|   Long   | 0.000|
| 37 | 2024-02-26 | 2024-02-28 | BNBX  |     430.260|       0.000|       0.000|     445.590|  Yes   |     886.620|   Long   | 0.000|
| 38 | 2024-02-26 | 2024-02-28 |  QTO  |       0.251|       0.000|       0.000|       0.260|  Yes   |     889.190|   Long   | 0.000|
| 39 | 2024-02-26 | 2024-02-28 | LAKE  |       0.042|       0.000|       0.000|       0.046|  Yes   |     897.307|   Long   | 0.000|
| 40 | 2024-02-26 | 2024-02-29 |  ZIG  |       0.086|       0.000|       0.000|       0.088|  Yes   |     898.925|   Long   | 0.000|
| 41 | 2024-02-29 | 2024-03-01 |WSTETH |   3,891.250|       0.000|       0.000|   3,975.230|  Yes   |     899.966|   Long   | 0.000|
| 42 | 2024-02-29 | 2024-03-01 | NAKA  |       2.206|       0.000|       0.000|       2.502|  Yes   |     911.139|   Long   | 0.000|
| 43 | 2024-02-29 | 2024-03-01 |  FET  |       1.461|       0.000|       0.000|       1.720|  Yes   |     926.142|   Long   | 0.000|
| 44 | 2024-02-29 | 2024-03-01 |  MLT  |       0.288|       0.000|       0.000|       0.297|  Yes   |     928.225|   Long   | 0.000|
| 45 | 2024-02-29 | 2024-03-01 |  ZBU  |       3.556|       0.000|       0.000|       3.601|  Yes   |     928.479|   Long   | 0.000|
| 46 | 2024-02-29 | 2024-03-01 | SAUCE |       0.216|       0.000|       0.000|       0.222|  Yes   |     929.958|   Long   | 0.000|
| 47 | 2024-02-29 | 2024-03-01 |  0X0  |       0.273|       0.000|       0.000|       0.287|  Yes   |     933.800|   Long   | 0.000|
| 48 | 2024-02-29 | 2024-03-01 | RETH  |   3,692.280|       0.000|       0.000|   3,785.240|  Yes   |     935.164|   Long   | 0.000|
| 49 | 2024-02-29 | 2024-03-01 |JITOSOL|     137.230|       0.000|       0.000|     141.990|  Yes   |     937.384|   Long   | 0.000|
| 50 | 2024-02-29 | 2024-03-05 |  ZIG  |       0.088|       0.000|       0.000|       0.000|   No   |     846.592|   Long   | 0.000|
| 51 | 2024-03-04 | 2024-03-05 |FAKEAI |       0.014|       0.000|       0.000|       0.015|  Yes   |     854.255|   Long   | 0.000|
| 52 | 2024-03-04 | 2024-03-06 |  ETH  |   3,630.430|       0.000|       0.000|   3,819.230|  Yes   |     858.193|   Long   | 0.000|
| 53 | 2024-03-04 | 2024-03-06 | BOTTO |       0.923|       0.000|       0.000|       0.927|   No   |     857.651|   Long   | 0.000|
| 54 | 2024-03-04 | 2024-03-06 |  ANT  |       9.188|       0.000|       0.000|       9.705|  Yes   |     861.989|   Long   | 0.000|
| 55 | 2024-03-04 | 2024-03-06 | RETH  |   3,927.970|       0.000|       0.000|   4,208.980|  Yes   |     867.758|   Long   | 0.000|
| 56 | 2024-03-06 | 2024-03-07 | P2PS  |     219.040|       0.000|       0.000|     221.930|  Yes   |     868.035|   Long   | 0.000|
| 57 | 2024-03-06 | 2024-03-07 | WTAO  |     717.590|       0.000|       0.000|     730.650|  Yes   |     868.747|   Long   | 0.000|
| 58 | 2024-03-06 | 2024-03-07 | SURE  |       0.009|       0.000|       0.000|       0.009|  Yes   |     870.262|   Long   | 0.000|
| 59 | 2024-03-06 | 2024-03-07 |  ANT  |       9.705|       0.000|       0.000|       9.811|  Yes   |     870.345|   Long   | 0.000|
| 60 | 2024-03-06 | 2024-03-07 |SCOTTY |       0.011|       0.000|       0.000|       0.012|  Yes   |     871.234|   Long   | 0.000|
| 61 | 2024-03-04 | 2024-03-08 |  RIF  |       0.251|       0.000|       0.000|       0.256|  Yes   |     871.980|   Long   | 0.000|
| 62 | 2024-03-04 | 2024-03-08 | WBTC  |  68,088.040|       0.000|       0.000|  68,370.420|   No   |     871.432|   Long   | 0.000|
| 63 | 2024-03-04 | 2024-03-09 |  BTC  |  68,330.410|       0.000|       0.000|  68,498.880|   No   |     870.725|   Long   | 0.000|
| 64 | 2024-03-04 | 2024-03-09 |  LET  |       0.003|       0.000|       0.000|       0.000|   No   |     776.050|   Long   | 0.000|
| 65 | 2024-03-06 | 2024-03-09 |  ZIG  |       0.095|       0.000|       0.000|       0.112|  Yes   |     790.428|   Long   | 0.000|
| 66 | 2024-03-08 | 2024-03-09 | CLORE |       0.346|       0.000|       0.000|       0.401|  Yes   |     803.391|   Long   | 0.000|
| 67 | 2024-03-08 | 2024-03-09 | SDEX  |       0.025|       0.000|       0.000|       0.026|   No   |     802.989|   Long   | 0.000|
