Iteration number: 1
Iteration number: 1


| #  | Trade Date | Exit Date  |Ticker |Enter Price | Stop Loss  |Take Profit | Exit Price | Winner |  Capital   | Position |Spread|
+----------------------------------------------------------------------------------------------------------------------------------+
| 1  | 2023-11-05 | 2023-11-11 |  VTS  |       0.125|       0.251|       0.063|       0.063|   No   |     900.000|  Short   | 0.000|
| 2  | 2023-11-11 | 2023-11-14 |  NOS  |       0.207|       0.414|       0.103|       0.414|  Yes   |     950.000|  Short   | 0.000|
| 3  | 2023-11-13 | 2023-11-14 | MYRO  |       0.002|       0.005|       0.001|       0.001|   No   |     860.000|  Short   | 0.000|
| 4  | 2023-11-16 | 2023-11-17 | CAGA  |       0.000|       0.000|       0.000|       0.000|   No   |     774.000|  Short   | 0.000|
| 5  | 2023-11-09 | 2023-11-19 | FERC  |       0.133|       0.267|       0.067|       0.267|  Yes   |     824.000|  Short   | 0.000|
| 6  | 2023-11-10 | 2023-11-19 |  ZF   |       0.003|       0.005|       0.001|       0.001|   No   |     724.000|  Short   | 0.000|
| 7  | 2023-11-20 | 2023-11-29 | AIOZ  |       0.063|       0.127|       0.032|       0.032|   No   |     651.600|  Short   | 0.000|
| 8  | 2023-11-24 | 2023-11-29 |  GDC  |       0.001|       0.001|       0.000|       0.001|  Yes   |     687.800|  Short   | 0.000|
| 9  | 2023-11-24 | 2023-12-04 | RAIN  |       0.003|       0.007|       0.002|       0.002|   No   |     615.400|  Short   | 0.000|
| 10 | 2023-11-25 | 2023-12-06 |  UQC  |      14.587|      29.173|       7.293|      29.173|  Yes   |     651.600|  Short   | 0.000|
| 11 | 2023-12-01 | 2023-12-07 | PERL  |       0.010|       0.020|       0.005|       0.020|  Yes   |     685.990|  Short   | 0.000|
| 12 | 2023-11-24 | 2023-12-08 |  DFL  |       0.002|       0.004|       0.001|       0.001|   No   |     613.590|  Short   | 0.000|
| 13 | 2023-11-20 | 2023-12-09 |  ZNN  |       2.402|       4.803|       1.201|       1.201|   No   |     541.190|  Short   | 0.000|
| 14 | 2023-12-09 | 2023-12-15 |  MNR  |       0.001|       0.002|       0.001|       0.002|  Yes   |     571.870|  Short   | 0.000|
| 15 | 2023-11-02 | 2023-12-18 | DOGGY |       0.002|       0.003|       0.001|       0.003|  Yes   |     621.870|  Short   | 0.000|
| 16 | 2023-11-16 | 2023-12-24 |  OTK  |       0.018|       0.037|       0.009|       0.009|   No   |     535.870|  Short   | 0.000|
| 17 | 2023-12-22 | 2023-12-24 | DGLN  |       0.000|       0.000|       0.000|       0.000|  Yes   |     566.963|  Short   | 0.000|
| 18 | 2023-12-26 | 2023-12-28 | 1SOL  |       0.059|       0.119|       0.030|       0.119|  Yes   |     595.311|  Short   | 0.000|
| 19 | 2023-12-26 | 2023-12-30 | KIMBO |       0.000|       0.000|       0.000|       0.000|   No   |     538.615|  Short   | 0.000|
| 20 | 2023-12-30 | 2024-01-03 |SEILOR |       0.056|       0.113|       0.028|       0.028|   No   |     479.084|  Short   | 0.000|
| 21 | 2023-12-02 | 2024-01-05 |  SBR  |       0.010|       0.019|       0.005|       0.019|  Yes   |     513.474|  Short   | 0.000|
| 22 | 2023-12-31 | 2024-01-23 | TAKI  |       0.033|       0.066|       0.017|       0.066|  Yes   |     540.404|  Short   | 0.000|
| 23 | 2023-11-28 | 2024-01-26 | EOSC  |       0.003|       0.006|       0.001|       0.003|   No   |     537.141|  Short   | 0.000|
| 24 | 2023-11-28 | 2024-01-26 | HORD  |       0.024|       0.047|       0.012|       0.017|  Yes   |     557.436|  Short   | 0.000|
| 25 | 2024-01-08 | 2024-01-31 |TRIVIA |       0.003|       0.006|       0.001|       0.006|  Yes   |     583.110|  Short   | 0.000|
| 26 | 2023-12-10 | 2024-02-03 |  LIQ  |       0.004|       0.009|       0.002|       0.009|  Yes   |     610.170|  Short   | 0.000|
| 27 | 2023-12-08 | 2024-02-05 | MYTH  |       0.502|       1.004|       0.251|       0.294|  Yes   |     638.633|  Short   | 0.000|
| 28 | 2024-01-28 | 2024-02-06 |  FLY  |       0.003|       0.007|       0.002|       0.007|  Yes   |     666.504|  Short   | 0.000|
